new index,기존 index,시장명,소재지지번주소,위도,경도,법정동코드,행정동코드,시도명,시군구명,읍면동명,5일장,복합장,상설장,점포수,공중화장실보유여부,주차장보유여부,운영기간,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,공시지가,행정동 인구,행정동 인구 0 - 4세,행정동 인구 5 - 9세,행정동 인구 10 - 14세,행정동 인구 15 - 19세,행정동 인구 20 - 24세,행정동 인구 25 - 29세,행정동 인구 30 - 34세,행정동 인구 35 - 39세,행정동 인구 40 - 44세,행정동 인구 45 - 49세,행정동 인구 50 - 54세,행정동 인구 55 - 59세,행정동 인구 60 - 64세,행정동 인구 65 - 69세,행정동 인구 70 - 74세,행정동 인구 75 - 79세,행정동 인구 80 - 84세,행정동 인구 85 - 89세,행정동 인구 90 - 94세,행정동 인구 95 - 99세,행정동 인구 100+,행정시구 인구,행정시구 인구 0 - 4세,행정시구 인구 5 - 9세,행정시구 인구 10 - 14세,행정시구 인구 15 - 19세,행정시구 인구 20 - 24세,행정시구 인구 25 - 29세,행정시구 인구 30 - 34세,행정시구 인구 35 - 39세,행정시구 인구 40 - 44세,행정시구 인구 45 - 49세,행정시구 인구 50 - 54세,행정시구 인구 55 - 59세,행정시구 인구 60 - 64세,행정시구 인구 65 - 69세,행정시구 인구 70 - 74세,행정시구 인구 75 - 79세,행정시구 인구 80 - 84세,행정시구 인구 85 - 89세,행정시구 인구 90 - 94세,행정시구 인구 95 - 99세,행정시구 인구 100+,시도별 소득월액,농산물이 주요품목
305,319,양촌시장,충청남도 논산시 양촌면 인천리 379-3,36.13838,127.2343,4423039021,4423039000,충청남도,논산시,양촌면,1,0,0,0,1,1,90,1,2,0,3,1,1,0,0,23,8,114320,6217,175,195,219,202,219,216,291,226,274,367,521,554,586,564,455,436,414,207,82,9,5,116675,3043,4189,4696,5110,6025,5362,4943,5821,6762,8641,9352,10351,11285,8722,6945,6102,5047,3003,966,217,93,1243114,0
1431,1981,덕풍전통시장,경기도 하남시 덕풍동 328-12,37.54154,127.2029,4145010800,4145056000,경기도,하남시,덕풍3동,0,1,0,185,1,1,16,2,26,1,8,62,4,8,1,753,99,2943810,25719,864,1286,1328,1240,1535,1558,1450,1952,2183,2253,2171,1985,2050,1385,1020,708,431,206,84,20,10,293452,13270,16924,13735,11404,15407,21000,21783,28326,27529,23894,21204,20864,20539,14566,9961,6217,3750,1957,789,209,124,1463080,1
318,332,부여중앙시장,,36.2808,126.9122,4476025029,4476025000,충청남도,부여군,부여읍,0,0,1,80,1,1,90,2,51,0,4,19,2,14,4,366,50,989043,20330,358,706,881,1023,1196,998,761,850,1150,1517,1807,1881,2070,1492,1272,986,744,427,158,37,16,65354,1082,1842,2102,2572,3104,2321,1935,2467,3044,4160,4874,5984,7184,5853,4967,4490,3900,2430,816,173,54,1203666,0
1167,1413,김제시장,전라북도 김제시 요촌동 415,35.80162,126.8837,4521010100,4521051000,전라북도,김제시,요촌동,0,0,1,65,1,1,121,2,66,0,5,18,4,6,2,317,58,407691,11241,297,458,472,560,652,658,481,642,708,851,925,951,965,755,650,469,365,257,101,15,9,82450,1653,2654,2931,3235,3828,3403,2835,3810,4380,5611,6469,7235,8084,6478,6066,5336,4382,2784,992,208,76,1189380,0
1679,2437,가남시장,경기도 여주시 가남읍 태평리 141-21,37.20255,127.546,4167025021,4167025000,경기도,여주시,가남읍,1,0,0,55,0,0,60,1,5,0,2,13,3,0,1,138,23,524900,15607,462,566,633,673,802,865,793,1019,1078,1182,1384,1422,1443,1098,721,631,465,251,84,25,10,111897,3072,4342,4589,5003,6195,5982,5097,6442,7438,8595,9665,10452,10550,8072,5432,4782,3461,1848,664,164,52,1362198,1
723,791,양문5일장,경기도 포천시 영중면 양문리 819-11,38.00188,127.2436,4165036021,4165036000,경기도,포천시,영중면,1,0,0,30,0,0,43,1,3,0,1,3,3,0,0,49,8,118310,4860,71,120,101,154,220,196,131,166,223,287,449,578,622,466,324,347,248,105,38,10,4,147274,3624,4955,5630,6613,8978,8863,7028,7548,8691,11781,13893,15283,15073,9320,6817,5648,4332,2143,755,221,78,1359818,1
724,792,일동5일장,경기도 포천시 일동면 기산리 94-36,37.95983,127.3198,4165037023,4165037000,경기도,포천시,일동면,1,0,0,30,0,0,43,2,10,0,3,7,2,0,2,136,15,324734,9403,172,330,370,320,483,456,371,479,557,647,702,888,1059,762,604,484,391,207,91,22,8,147274,3624,4955,5630,6613,8978,8863,7028,7548,8691,11781,13893,15283,15073,9320,6817,5648,4332,2143,755,221,78,1359818,1
726,794,운천5일장,경기도 포천시 영북면 운천리 513-9,38.09116,127.2724,4165039021,4165039000,경기도,포천시,영북면,1,0,0,30,0,0,43,2,5,0,3,6,1,1,0,102,11,150805,8465,310,337,228,211,429,543,511,493,422,469,584,716,908,588,518,497,402,175,72,35,17,147274,3624,4955,5630,6613,8978,8863,7028,7548,8691,11781,13893,15283,15073,9320,6817,5648,4332,2143,755,221,78,1359818,1
721,789,송우5일장,경기도 포천시 소흘읍 송우리 142-4,37.82686,127.1457,4165025021,4165025000,경기도,포천시,소흘읍,1,0,0,81,0,0,43,4,18,0,9,30,5,1,1,408,71,1267704,43812,1157,1690,2208,2687,3192,2613,1926,2353,2983,4237,4559,4374,3755,2045,1495,1075,806,447,145,53,12,147274,3624,4955,5630,6613,8978,8863,7028,7548,8691,11781,13893,15283,15073,9320,6817,5648,4332,2143,755,221,78,1359818,1
1437,1992,양곡종합상가,경상남도 창원시 성산구 신촌동 33-2,35.20085,128.6283,4812312300,4812357000,경상남도,창원시 성산구,웅남동,0,0,1,94,1,1,41,0,4,0,2,5,0,1,6,69,9,860857,7933,189,300,374,403,468,528,462,511,565,689,706,739,747,462,312,217,156,72,26,7,0,214570,6805,9752,10779,12332,15686,16660,14368,14968,16097,19642,22223,21209,15709,8067,4348,2529,1886,1052,361,77,20,1288860,1
